imbalance,loss_family,hyperparams,accuracy,acc_neg,acc_pos,prec_neg,prec_pos,rec_neg,rec_pos,f1_neg,f1_pos,mcc,balanced_acc,pr_auc,recall_pos,cm_tn,cm_fp,cm_fn,cm_tp,epoch_stopped,val_balacc_at_stop,val_mcc_at_stop
1:8,BareCE,"{""w_neg"": 1, ""w_pos"": 1}",0.891566265060241,0.9579188982402448,0.42780748663101603,0.9212656364974245,0.5925925925925926,0.9579188982402448,0.42780748663101603,0.9392348087021756,0.4968944099378882,0.44520633086608336,0.6928631924356304,0.5584216396692255,0.42780748663101603,1252,55,107,80,28,0.7037196418157533,0.43320412408459497
1:8,WeightedCE,"{""w_neg"": 1, ""w_pos"": 1.0}",0.891566265060241,0.9579188982402448,0.42780748663101603,0.9212656364974245,0.5925925925925926,0.9579188982402448,0.42780748663101603,0.9392348087021756,0.4968944099378882,0.44520633086608336,0.6928631924356304,0.5584216396692255,0.42780748663101603,1252,55,107,80,28,0.7037196418157533,0.43320412408459497
1:8,WeightedCE,"{""w_neg"": 1, ""w_pos"": 2.0}",0.8313253012048193,0.8798775822494261,0.4919786096256685,0.9236947791164659,0.36947791164658633,0.8798775822494261,0.4919786096256685,0.9012539184952978,0.42201834862385323,0.33017886114789863,0.6859280959375473,0.43882328793949577,0.4919786096256685,1150,157,95,92,4,0.6980054367251727,0.3482874833235211
1:8,WeightedCE,"{""w_neg"": 1, ""w_pos"": 5.0}",0.7282463186077643,0.7383320581484315,0.6577540106951871,0.9378036929057337,0.2645161290322581,0.7383320581484315,0.6577540106951871,0.8261986301369864,0.3773006134969325,0.28308313782449157,0.6980430344218094,0.42366884668482097,0.6577540106951871,965,342,64,123,2,0.7774799179788174,0.36872100846283606
1:8,WeightedCE,"{""w_neg"": 1, ""w_pos"": 10.0}",0.6546184738955824,0.6388676358071921,0.7647058823529411,0.949943117178612,0.23252032520325203,0.6388676358071921,0.7647058823529411,0.7639524245196706,0.3566084788029925,0.2713621443342045,0.7017867590800666,0.41306301856424116,0.7647058823529411,835,472,44,143,2,0.786575615629174,0.3578888506958479
1:8,WeightedCE,"{""w_neg"": 1, ""w_pos"": 15.0}",0.6579651941097724,0.6289211935730681,0.8609625668449198,0.9693396226415094,0.24922600619195046,0.6289211935730681,0.8609625668449198,0.762877030162413,0.3865546218487395,0.3272182026584975,0.744941880208994,0.5004731101154694,0.8609625668449198,822,485,26,161,6,0.7845486013130913,0.3526995562424981
1:8,WeightedCE,"{""w_neg"": 1, ""w_pos"": 20.0}",0.8052208835341366,0.8201989288446825,0.7005347593582888,0.950354609929078,0.35792349726775957,0.8201989288446825,0.7005347593582888,0.8804928131416838,0.47377938517179025,0.40066294532042784,0.7603668441014857,0.5400848129733532,0.7005347593582888,1072,235,56,131,21,0.7908201177643585,0.4295885176333732
1:8,WeightedCE,"{""w_neg"": 1, ""w_pos"": 25.0}",0.6680053547523427,0.6342769701606733,0.9037433155080213,0.9787485242030697,0.26120556414219476,0.6342769701606733,0.9037433155080213,0.7697307335190343,0.4052757793764988,0.3593051170786332,0.7690101428343473,0.5012621572076419,0.9037433155080213,829,478,18,169,11,0.7799725341911696,0.3477140746303617
1:8,WeightedCE,"{""w_neg"": 1, ""w_pos"": 35.0}",0.6352074966532798,0.5906656465187452,0.946524064171123,0.9872122762148338,0.24859550561797752,0.5906656465187452,0.946524064171123,0.7391096218286262,0.39377085650723026,0.35591222808606543,0.7685948553449341,0.5306216129011719,0.946524064171123,772,535,10,177,13,0.7742583291005889,0.3351519463073291
1:8,WeightedCE,"{""w_neg"": 1, ""w_pos"": 50.0}",0.6619812583668006,0.6273909716908952,0.9037433155080213,0.9785202863961814,0.2576219512195122,0.6273909716908952,0.9037433155080213,0.7645687645687645,0.40094899169632264,0.35415143519908066,0.7655671435994582,0.5183732118354485,0.9037433155080213,820,487,18,169,14,0.7724617642079123,0.3382884814509855
1:8,WeightedCE,"{""w_neg"": 1, ""w_pos"": 75.0}",0.64190093708166,0.6074980872226473,0.8823529411764706,0.9730392156862745,0.24336283185840707,0.6074980872226473,0.8823529411764706,0.7479981158737635,0.3815028901734104,0.3255837304556803,0.744925514199559,0.4904070376962555,0.8823529411764706,794,513,22,165,12,0.7665735462874128,0.32673823201904123
1:8,WeightedCE,"{""w_neg"": 1, ""w_pos"": 100.0}",0.6847389558232931,0.6557000765110941,0.8877005347593583,0.9760820045558086,0.2694805194805195,0.6557000765110941,0.8877005347593583,0.7844393592677346,0.41344956413449563,0.36529279443544443,0.7717003056352262,0.5209274086626507,0.8877005347593583,857,450,21,166,30,0.7806286095904584,0.35200937605719196
1:8,WeightedCE,"{""w_neg"": 1, ""w_pos"": 8.09}",0.6947791164658634,0.6817138485080336,0.786096256684492,0.9570354457572503,0.261101243339254,0.6817138485080336,0.786096256684492,0.7962466487935657,0.392,0.31944725303653015,0.7339050525962628,0.46867177907198726,0.786096256684492,891,416,40,147,3,0.7816515228474142,0.35769217523399044
1:8,Focal,"{""alpha"": [1.0, 1.0], ""gamma"": 0.25}",0.892904953145917,0.9739862280030605,0.32620320855614976,0.9099356683345247,0.6421052631578947,0.9739862280030605,0.32620320855614976,0.9408721359940873,0.4326241134751773,0.4070833528680962,0.6500947182796051,0.528628209833201,0.32620320855614976,1273,34,126,61,10,0.644945632748274,0.38941264245400015
1:8,Focal,"{""alpha"": [1.0, 1.0], ""gamma"": 0.5}",0.8808567603748326,0.9387911247130833,0.47593582887700536,0.9260377358490566,0.5266272189349113,0.9387911247130833,0.47593582887700536,0.932370820668693,0.5,0.43328092237548405,0.7073634767950443,0.5535738872491164,0.47593582887700536,1227,80,98,89,23,0.7115008371428033,0.4383486953673788
1:8,Focal,"{""alpha"": [1.0, 1.0], ""gamma"": 1.0}",0.8835341365461847,0.944912012241775,0.45454545454545453,0.9237097980553478,0.5414012738853503,0.944912012241775,0.45454545454545453,0.9341906202723147,0.4941860465116279,0.43103606644006504,0.6997287333936147,0.5406256080531003,0.45454545454545453,1235,72,102,85,23,0.7069247700208816,0.4385694728924182
1:8,Focal,"{""alpha"": [1.0, 1.0], ""gamma"": 2.0}",0.891566265060241,0.9571537872991583,0.43315508021390375,0.9218865143699336,0.5912408759124088,0.9571537872991583,0.43315508021390375,0.9391891891891891,0.5,0.4475244916102739,0.6951544337565311,0.5230184332931512,0.43315508021390375,1251,56,106,81,19,0.6540013544782437,0.3669786086589217
1:8,Focal,"{""alpha"": [1.0, 1.0], ""gamma"": 3.0}",0.8855421686746988,0.9579188982402448,0.37967914438502676,0.9152046783625731,0.5634920634920635,0.9579188982402448,0.37967914438502676,0.9360747663551402,0.4536741214057508,0.4020038346349699,0.6687990213126358,0.47709755805251713,0.37967914438502676,1252,55,116,71,30,0.656839644825705,0.37052770653144496
1:8,Focal,"{""alpha"": [1.0, 1.0], ""gamma"": 5.0}",0.8862115127175368,0.9778117827084928,0.24598930481283424,0.9006342494714588,0.6133333333333333,0.9778117827084928,0.24598930481283424,0.9376375641966251,0.3511450381679389,0.3391555748950917,0.6119005437606635,0.45667457250623833,0.24598930481283424,1278,29,141,46,21,0.6016376018210208,0.3332567384849465
1:8,Focal,"{""alpha"": [1.0, 4.05], ""gamma"": 0.25}",0.7336010709504686,0.7329762815608263,0.7379679144385026,0.9513406156901688,0.28336755646817247,0.7329762815608263,0.7379679144385026,0.8280034572169404,0.4094955489614243,0.3324672185818959,0.7354720979996645,0.4915327694415235,0.7379679144385026,958,349,49,138,4,0.7607206012378426,0.34712175216391145
1:8,Focal,"{""alpha"": [1.0, 4.05], ""gamma"": 0.5}",0.7443105756358769,0.7459831675592961,0.732620320855615,0.9512195121951219,0.2921108742004264,0.7459831675592961,0.732620320855615,0.8361921097770154,0.4176829268292683,0.34126056286400525,0.7393017442074555,0.4847649151629031,0.732620320855615,975,332,50,137,4,0.7542327445115413,0.34586999197414514
1:8,Focal,"{""alpha"": [1.0, 4.05], ""gamma"": 1.0}",0.8273092369477911,0.8500382555470544,0.6684491978609626,0.9471440750213129,0.3894080996884735,0.8500382555470544,0.6684491978609626,0.8959677419354839,0.4921259842519685,0.41772967335850963,0.7592437267040084,0.5558736465850422,0.6684491978609626,1111,196,62,125,13,0.7794857685723423,0.4376079995645434
1:8,Focal,"{""alpha"": [1.0, 4.05], ""gamma"": 2.0}",0.785809906291834,0.7941851568477429,0.7272727272727273,0.953168044077135,0.3358024691358025,0.7941851568477429,0.7272727272727273,0.8664440734557596,0.4594594594594595,0.3881828852399662,0.7607289420602351,0.5097545801988029,0.7272727272727273,1038,269,51,136,10,0.7695435220196776,0.37621164090404563
1:8,Focal,"{""alpha"": [1.0, 4.05], ""gamma"": 3.0}",0.8326639892904953,0.8576893649579189,0.6577540106951871,0.9459915611814346,0.39805825242718446,0.8576893649579189,0.6577540106951871,0.8996789727126806,0.4959677419354839,0.4211154204244349,0.757721687826553,0.5584254334355145,0.6577540106951871,1121,186,64,123,20,0.7698703839569576,0.42432123581234676
1:8,Focal,"{""alpha"": [1.0, 4.05], ""gamma"": 5.0}",0.7965194109772423,0.8201989288446825,0.6310160427807486,0.9395267309377738,0.3342776203966006,0.8201989288446825,0.6310160427807486,0.8758169934640523,0.43703703703703706,0.35148915007188963,0.7256074858127155,0.4603731290208643,0.6310160427807486,1072,235,69,118,12,0.7534590928758207,0.38090543273110056
1:8,Focal,"{""alpha"": [1.0, 8.09], ""gamma"": 0.25}",0.6820615796519411,0.6656465187452181,0.7967914438502673,0.9581497797356828,0.25426621160409557,0.6656465187452181,0.7967914438502673,0.7855530474040632,0.3855109961190168,0.3134154084563606,0.7312189812977428,0.47526325356519467,0.7967914438502673,870,437,38,149,3,0.774218353180202,0.34421257916931597
1:8,Focal,"{""alpha"": [1.0, 8.09], ""gamma"": 0.5}",0.6519410977242303,0.6258607498087223,0.8342245989304813,0.9634864546525324,0.24186046511627907,0.6258607498087223,0.8342245989304813,0.7588126159554731,0.375,0.30737128882567233,0.7300426743696018,0.4810558305607027,0.8342245989304813,818,489,31,156,4,0.7748368041838328,0.34002170244363433
1:8,Focal,"{""alpha"": [1.0, 8.09], ""gamma"": 1.0}",0.6847389558232931,0.6687069625095639,0.7967914438502673,0.9583333333333334,0.25601374570446733,0.6687069625095639,0.7967914438502673,0.7877422262280307,0.38751625487646296,0.31587691226169257,0.7327492031799157,0.4635131030073319,0.7967914438502673,874,433,38,149,3,0.7771530560415374,0.34891398262442763
1:8,Focal,"{""alpha"": [1.0, 8.09], ""gamma"": 2.0}",0.7315930388219545,0.7214996174445295,0.8021390374331551,0.9622448979591837,0.2918287937743191,0.7214996174445295,0.8021390374331551,0.824661128115435,0.42796005706134094,0.36475033403567825,0.7618193274388423,0.4861270118693575,0.8021390374331551,943,364,37,150,7,0.7759161540342758,0.36347167193053925
1:8,Focal,"{""alpha"": [1.0, 8.09], ""gamma"": 3.0}",0.6720214190093708,0.6434583014537107,0.8716577540106952,0.9722543352601156,0.2591414944356121,0.6434583014537107,0.8716577540106952,0.7744014732965009,0.39950980392156865,0.34524731286974086,0.7575580277322029,0.5187215960269512,0.8716577540106952,841,466,24,163,10,0.7885838177474274,0.35882956356461665
1:8,Focal,"{""alpha"": [1.0, 8.09], ""gamma"": 5.0}",0.713520749665328,0.7061973986228003,0.7647058823529411,0.954498448810755,0.2713472485768501,0.7061973986228003,0.7647058823529411,0.8117854001759015,0.4005602240896359,0.3261157461608955,0.7354516404878707,0.45725475809449373,0.7647058823529411,923,384,44,143,6,0.7674788833079369,0.3477686908857452
1:8,CBFocal,"{""beta"": 0.9, ""gamma"": 0.5, ""class_counts"": [6232, 770]}",0.8808567603748326,0.9387911247130833,0.47593582887700536,0.9260377358490566,0.5266272189349113,0.9387911247130833,0.47593582887700536,0.932370820668693,0.5,0.43328092237548405,0.7073634767950443,0.5535738872491164,0.47593582887700536,1227,80,98,89,23,0.7115008371428033,0.4383486953673788
1:8,CBFocal,"{""beta"": 0.9, ""gamma"": 1.0, ""class_counts"": [6232, 770]}",0.8835341365461847,0.944912012241775,0.45454545454545453,0.9237097980553478,0.5414012738853503,0.944912012241775,0.45454545454545453,0.9341906202723147,0.4941860465116279,0.43103606644006504,0.6997287333936147,0.5406256080531003,0.45454545454545453,1235,72,102,85,23,0.7069247700208816,0.4385694728924182
1:8,CBFocal,"{""beta"": 0.9, ""gamma"": 2.0, ""class_counts"": [6232, 770]}",0.891566265060241,0.9571537872991583,0.43315508021390375,0.9218865143699336,0.5912408759124088,0.9571537872991583,0.43315508021390375,0.9391891891891891,0.5,0.4475244916102739,0.6951544337565311,0.5230184332931512,0.43315508021390375,1251,56,106,81,19,0.6540013544782437,0.3669786086589217
1:8,CBFocal,"{""beta"": 0.9, ""gamma"": 5.0, ""class_counts"": [6232, 770]}",0.8862115127175368,0.9778117827084928,0.24598930481283424,0.9006342494714588,0.6133333333333333,0.9778117827084928,0.24598930481283424,0.9376375641966251,0.3511450381679389,0.3391555748950917,0.6119005437606635,0.45667457250623833,0.24598930481283424,1278,29,141,46,21,0.6016376018210208,0.3332567384849465
1:8,CBFocal,"{""beta"": 0.99, ""gamma"": 0.5, ""class_counts"": [6232, 770]}",0.8895582329317269,0.9487375669472073,0.47593582887700536,0.9267563527653214,0.5705128205128205,0.9487375669472073,0.47593582887700536,0.9376181474480151,0.5189504373177842,0.45953997481691117,0.7123366979121064,0.5535002059870048,0.47593582887700536,1240,67,98,89,23,0.6916328047105743,0.4158984287847366
1:8,CBFocal,"{""beta"": 0.99, ""gamma"": 1.0, ""class_counts"": [6232, 770]}",0.8949129852744311,0.9701606732976281,0.3689839572192513,0.9148629148629148,0.6388888888888888,0.9701606732976281,0.3689839572192513,0.941700705532863,0.46779661016949153,0.4333612244784495,0.6695723152584397,0.5414538069158014,0.3689839572192513,1268,39,118,69,16,0.6581329834264538,0.41771363227323793
1:8,CBFocal,"{""beta"": 0.99, ""gamma"": 2.0, ""class_counts"": [6232, 770]}",0.8821954484605087,0.9502677888293802,0.40641711229946526,0.917960088691796,0.5390070921985816,0.9502677888293802,0.40641711229946526,0.9338345864661655,0.4634146341463415,0.40372427934793764,0.6783424505644228,0.5053266531220438,0.40641711229946526,1242,65,111,76,19,0.6614157119476268,0.37047043446421124
1:8,CBFocal,"{""beta"": 0.99, ""gamma"": 5.0, ""class_counts"": [6232, 770]}",0.8821954484605087,0.9755164498852333,0.22994652406417113,0.8985200845665962,0.5733333333333334,0.9755164498852333,0.22994652406417113,0.9354365370506236,0.3282442748091603,0.31136539067454283,0.6027314869747022,0.4185942579028975,0.22994652406417113,1275,32,144,43,17,0.5944936696954305,0.30983269583265677
1:8,CBFocal,"{""beta"": 0.999, ""gamma"": 0.5, ""class_counts"": [6232, 770]}",0.8627844712182061,0.9288446824789595,0.40106951871657753,0.9155354449472096,0.44642857142857145,0.9288446824789595,0.40106951871657753,0.9221420432966199,0.4225352112676056,0.3455677492535206,0.6649571005977685,0.4181904114964417,0.40106951871657753,1214,93,112,75,4,0.6646984404688,0.34029247235561816
1:8,CBFocal,"{""beta"": 0.999, ""gamma"": 1.0, ""class_counts"": [6232, 770]}",0.8708165997322623,0.9479724560061209,0.3315508021390374,0.908357771260997,0.47692307692307695,0.9479724560061209,0.3315508021390374,0.9277424185698241,0.3911671924290221,0.3281690996808543,0.6397616290725792,0.43342972460813484,0.3315508021390374,1239,68,125,62,4,0.6399839155708561,0.3212816236647587
1:8,CBFocal,"{""beta"": 0.999, ""gamma"": 2.0, ""class_counts"": [6232, 770]}",0.8755020080321285,0.9288446824789595,0.5026737967914439,0.9288446824789595,0.5026737967914439,0.9288446824789595,0.5026737967914439,0.9288446824789595,0.5026737967914439,0.4315184792704033,0.7157592396352017,0.5256579324499427,0.5026737967914439,1214,93,93,94,15,0.7269668152830295,0.43709128874897224
1:8,CBFocal,"{""beta"": 0.999, ""gamma"": 5.0, ""class_counts"": [6232, 770]}",0.8728246318607764,0.9349655700076511,0.4385026737967914,0.9208741522230596,0.49101796407185627,0.9349655700076511,0.4385026737967914,0.9278663629460896,0.4632768361581921,0.392209925052334,0.6867341219022213,0.4922411786122197,0.4385026737967914,1222,85,105,82,21,0.6996844253814173,0.4100612135120983
1:8,CBFocal,"{""beta"": 0.9999, ""gamma"": 0.5, ""class_counts"": [6232, 770]}",0.7704149933065596,0.7697016067329763,0.7754010695187166,0.9599236641221374,0.3251121076233184,0.7697016067329763,0.7754010695187166,0.8543524416135881,0.45813586097946285,0.39417478611133233,0.7725513381258464,0.5619448725252657,0.7754010695187166,1006,301,42,145,16,0.7859360009029855,0.39773612587282753
1:8,CBFocal,"{""beta"": 0.9999, ""gamma"": 1.0, ""class_counts"": [6232, 770]}",0.7356091030789826,0.7360367253251722,0.732620320855615,0.950592885375494,0.2842323651452282,0.7360367253251722,0.732620320855615,0.8296679603277275,0.40956651718983555,0.33174162879823366,0.7343285230903935,0.4574906562075455,0.732620320855615,962,345,50,137,3,0.7769202550934026,0.3632876260557988
1:8,CBFocal,"{""beta"": 0.9999, ""gamma"": 2.0, ""class_counts"": [6232, 770]}",0.7650602409638554,0.7651109410864575,0.7647058823529411,0.9578544061302682,0.31777777777777777,0.7651109410864575,0.7647058823529411,0.8507018290089323,0.4489795918367347,0.3821446952606108,0.7649084117196994,0.5000133671076858,0.7647058823529411,1000,307,44,143,6,0.7767650544613127,0.3773724284085268
1:8,CBFocal,"{""beta"": 0.9999, ""gamma"": 5.0, ""class_counts"": [6232, 770]}",0.7838018741633199,0.7980107115531752,0.6844919786096256,0.9464609800362976,0.32653061224489793,0.7980107115531752,0.6844919786096256,0.8659194686591947,0.4421416234887737,0.3629313677095208,0.7412513450814004,0.5003567937775526,0.6844919786096256,1043,264,59,128,15,0.7677281449291721,0.3856197528472304
1:8,CBFocal,"{""beta"": 0.99999, ""gamma"": 0.5, ""class_counts"": [6232, 770]}",0.7751004016064257,0.7765876052027544,0.7647058823529411,0.9584513692162417,0.32873563218390806,0.7765876052027544,0.7647058823529411,0.8579881656804734,0.45980707395498394,0.39427459158377115,0.7706467437778477,0.5457896929214805,0.7647058823529411,1015,292,44,143,13,0.7788884812912693,0.3912900184024975
1:8,CBFocal,"{""beta"": 0.99999, ""gamma"": 1.0, ""class_counts"": [6232, 770]}",0.7309236947791165,0.7214996174445295,0.7967914438502673,0.9612640163098879,0.290448343079922,0.7214996174445295,0.7967914438502673,0.8243006993006993,0.4257142857142857,0.3611928375385673,0.7591455306473984,0.5316772236241305,0.7967914438502673,943,364,38,149,10,0.7853387136219125,0.3709895512801049
1:8,CBFocal,"{""beta"": 0.99999, ""gamma"": 2.0, ""class_counts"": [6232, 770]}",0.6740294511378849,0.6472838561591431,0.8609625668449198,0.9701834862385321,0.25884244372990356,0.6472838561591431,0.8609625668449198,0.7765029830197339,0.3980222496909765,0.3411768012067005,0.7541232115020314,0.5394794453158329,0.8609625668449198,846,461,26,161,10,0.7864792031153,0.35664209498624394
1:8,CBFocal,"{""beta"": 0.99999, ""gamma"": 5.0, ""class_counts"": [6232, 770]}",0.7028112449799196,0.6817138485080336,0.8502673796791443,0.969532100108814,0.27652173913043476,0.6817138485080336,0.8502673796791443,0.8005390835579514,0.41732283464566927,0.3617955549736149,0.765990614093589,0.515567955509765,0.8502673796791443,891,416,28,159,10,0.7801841714167466,0.355235008985899
